module type_0,x_0,x_1,x_2,x_3,x_4,x_5,y_0,y_1,y_2,y_3,z_0,z_1,z_2,z_3,edge count_0,line length_0,area difference_0,total score_0,img_0,deformation average_0,deformation variance_0,strain energy_0
23,9,0.662,0.528,0.165,0.457,0.043,4,0.98,0.46,0.74,2,0.18,0.62,0.96,1728,39,C:\Users\glady\Desktop\datalogging (new)/line length_4607.jpg,5.06E-06,0.02023,39.02023,0.981648,0.391765
23,9.25E-06,1.283438,0.760827,,,,,,,,,,,,,,,,,,,
23,9,0.144,0.553,0.516,0.802,0.02,7,0.18,0.83,0.06,3,0.89,0.87,0.17,4536,30,C:\Users\glady\Desktop\datalogging (new)/line length_4608.jpg,9.25E-06,0.003934,30.003934,1.283438,0.760827
23,0.000012,1.8444,1.451458,,,,,,,,,,,,,,,,,,,
23,8,0.979,0.344,0.893,0.531,0.901,6,0.75,0.71,0.19,3,0.28,0.09,0.13,3456,88,C:\Users\glady\Desktop\datalogging (new)/line length_4609.jpg,0.000012,0.010799,88.010799,1.8444,1.451458
23,3.30E-06,0.718125,0.246877,,,,,,,,,,,,,,,,,,,
23,12,0.407,0.999,0.391,0.548,0.403,5,0.62,0.76,0.27,2,0.79,0.92,0.49,2880,0,C:\Users\glady\Desktop\datalogging (new)/line length_4610.jpg,3.30E-06,0.009567,0.009567,0.718125,0.246877
23,3.88E-06,0.809396,0.384007,,,,,,,,,,,,,,,,,,,
23,10,0.631,0.294,0.873,0.871,0.634,6,0.87,0.76,0.83,2,0.72,0.06,0,2880,4,C:\Users\glady\Desktop\datalogging (new)/line length_4611.jpg,3.88E-06,0.006185,4.006185,0.809396,0.384007
23,4.21E-06,0.899077,0.46647,,,,,,,,,,,,,,,,,,,
23,9,0.265,0.425,0.885,0.499,0.792,7,0.48,0.65,0.89,2,0.47,0.76,0.27,3024,4,C:\Users\glady\Desktop\datalogging (new)/line length_4612.jpg,4.21E-06,0.004777,4.004777,0.899077,0.46647
23,3.17E-06,0.699108,0.25753,,,,,,,,,,,,,,,,,,,
23,13,0.549,0.97,0.406,0.4,0.491,6,0.11,0.56,0.99,2,0.21,0.5,0.13,3744,0,C:\Users\glady\Desktop\datalogging (new)/line length_4613.jpg,3.17E-06,0.005916,0.005916,0.699108,0.25753
23,5.51E-06,0.927578,0.333462,,,,,,,,,,,,,,,,,,,
23,12,0.27,0.329,0.396,0.429,0.07,6,0.82,0,0.36,3,0.03,0.7,0.54,5184,312,C:\Users\glady\Desktop\datalogging (new)/line length_4614.jpg,5.51E-06,0.011731,312.011731,0.927578,0.333462
23,8.81E-06,1.379434,0.954628,,,,,,,,,,,,,,,,,,,
23,14,0.815,0.107,0.359,0.05,0.38,6,0.05,0.28,0.75,3,0.65,0.51,0.07,6048,27,C:\Users\glady\Desktop\datalogging (new)/line length_4615.jpg,8.81E-06,0.00854,27.00854,1.379434,0.954628
23,5.96E-06,1.046674,0.660457,,,,,,,,,,,,,,,,,,,
23,10,0.208,0.385,0.652,0.904,0.686,5,0.08,0.62,0.14,2,0.37,0.2,0.06,2400,4,C:\Users\glady\Desktop\datalogging (new)/line length_4616.jpg,5.96E-06,0.006729,4.006729,1.046674,0.660457
23,3.09E-06,0.810776,0.276159,,,,,,,,,,,,,,,,,,,
23,12,0.932,0.703,0.95,0.172,0.53,4,0.83,0.17,0.1,2,0.14,0.75,0.76,2304,26,C:\Users\glady\Desktop\datalogging (new)/line length_4617.jpg,3.09E-06,0.022838,26.022838,0.810776,0.276159
23,8.13E-06,1.379605,0.672692,,,,,,,,,,,,,,,,,,,
23,9,0.673,0.879,0.993,0.444,0.349,6,0.73,0.16,0.65,3,0.05,0.85,0.96,3888,38,C:\Users\glady\Desktop\datalogging (new)/line length_4618.jpg,8.13E-06,0.010012,38.010012,1.379605,0.672692
23,0.000013,1.812948,1.501259,,,,,,,,,,,,,,,,,,,
